Search keyword report
10 September 2026 - 10 September 2026
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Phone impr.,Phone calls,Chats,Message impr.,Chat rate,Quality Score,Quality Score (hist.),Landing page exp.,Landing page exp. (hist.),Exp. CTR,Ad relevance,Ad relevance (hist.),Exp. CTR (hist.),Conv. rate
Enabled,[deep cleaners near me],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/deep-cleaning,0,0, --,0,0.00,0,0,0,0,0, --, --, --, --, --, --, --, --,0.00%
Enabled,[residential cleaning services near me],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/services/residential-cleaners-near-me,0,0, --,0,0.00,0,0,0,0,0, --, --, --, --, --, --, --, --,0.00%
Enabled,[home cleaning services],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/services/house-cleaning-services-gurgaon,0,0, --,0,0.00,0,0,0,0,0,3, --,Below average, --,Below average,Above average, --, --,0.00%
Enabled,[house cleaning services gurgaon],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/services/house-cleaning-services-gurgaon,0,0, --,0,0.00,0,0,0,0,0,6, --,Below average, --,Above average,Average, --, --,0.00%
Enabled,[deep cleaning services near me],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/deep-cleaning,0,0, --,0,0.00,0,0,0,0,0,8, --,Average, --,Above average,Above average, --, --,0.00%
Enabled,[home cleaners near me],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/services/residential-cleaners-near-me,0,0, --,0,0.00,0,0,0,0,0, --, --, --, --, --, --, --, --,0.00%
Enabled,[deep cleaning],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/deep-cleaning,0,0, --,0,0.00,0,0,0,0,0,3, --,Below average, --,Below average,Above average, --, --,0.00%
Enabled,[deep cleaning services in gurgaon],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/deep-cleaning,0,0, --,0,0.00,0,0,0,0,0,8, --,Average, --,Above average,Above average, --, --,0.00%
Enabled,[home cleaning services near me],Exact match,Ad group 1,Not eligible,campaign paused,0.00,INR,0.00,https://sachincleaning.online/services/house-cleaning-services-gurgaon,0,0, --,0,0.00,0,0,0,0,0,4, --,Below average, --,Average,Average, --, --,0.00%
 --,,Total: Enabled keywords, --, --,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0, --, --, --, --, --, --, --, --,0.00%
,,Total: Keywords in your campaign,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
,,Total: Your keywords,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
,,Total: AI Max expanded matches,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
,,Total: AI Max landing page matches,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
,,Total: URL inclusions in your campaign,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
,,Total: Campaign,,,,0.00,INR,0.00,,0,0, --,0,0.00,0,0,0,0,0,,,,,,,,,0.00%
